	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	11	10	49	24	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	11	9	31	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __DEV007; __DEV007
22635	0	0	0	1	0	6	6	19	0	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	55	0	5	0	1	0	0	0	1	0	9	0	6	0	3	0	3	4	4	2	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	2	8	0	0	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Persicirhabdus; __uncultured_Verrucomicrobia_bacterium
20083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	173	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __NS3a_marine_group; __uncultured_marine_bacterium
19314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	9	3	28	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	2	0	2	3	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	19	7	6	0	0	124	1	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Litorimonas
17359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	19	66	60	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	3	0	5	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter; __unidentified
17787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	28	5	33	7	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	4	22	99	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Ketogulonicigenium; __uncultured_organism
13287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	1	0	1	0	197	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	1	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
4509	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	5	0	0	0	0	13	1	7	11	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	4	16	0	6	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __Nannocystaceae; __uncultured
7220	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	174	5	16	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
5631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	0	5	22	16	8	3	28	14	8	9	4	16	11	0	5	2	2	8	1	4	4	6	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rickettsiales; __SM2D12; __SM2D12; __uncultured_bacterium
22144	0	0	0	7	0	4	0	9	0	3	5	0	9	0	2	37	1	0	4	81	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	9	7	22	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter
21780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	6	24	6	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	9	82	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Maribacter
20333	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	1	70	0	0	1	6	6	25	5	0	1	0	0	0	0	1	0	0	0	21	0	0	1	5	0	0	0	0	2	14	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter
19974	0	0	0	0	15	5	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	8	34	0	1	2	28	2	1	1	36	3	18	1	9	19	0	1	2	2	8	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae
10848	1	0	0	0	0	23	0	0	0	13	0	1	17	0	0	6	2	0	0	15	0	3	0	15	3	33	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	1	2	0	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __Unknown_Family; __uncultured; __uncultured_bacterium
22760	0	0	0	3	0	4	0	9	0	3	12	5	2	0	0	0	3	0	6	6	73	4	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	2	5	49	2	0	0	4	0	0	0	3	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Colwelliaceae; __Colwellia; __unidentified
13394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	36	12	33	7	31	17	10	26	0	0	0	0	0	1	0	0	0	0	4	11	2	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __TM6_(Dependentiae); __TM6_(Dependentiae); __TM6_(Dependentiae); __TM6_(Dependentiae); __TM6_(Dependentiae); __uncultured_bacterium
19542	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	146	5	7	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	5	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast; __Ditylum_brightwellii
12317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	1	0	0	0	0	0	0	0	0	22	9	13	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	5	14	34	8	16	5	1	12	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	12	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Flammeovirgaceae; __Marinoscillum
21231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	194	22	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
13933	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	26	0	0	2	3	0	0	1	0	63	94	0	1	20	0	0	0	3	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas
18875	0	0	0	0	0	4	5	28	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	61	0	3	0	0	1	0	0	0	0	9	0	11	2	0	0	1	7	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0	13	1	0	0	0	0	0	0	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Persicirhabdus; __uncultured_bacterium
4349	0	0	0	0	1	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	10	17	0	1	8	3	15	1	7	7	6	2	0	10	3	0	1	0	0	1	0	1	5	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rickettsiales; __Rickettsiaceae; __uncultured; __uncultured_bacterium
23210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	6	30	23	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	3	0	2	11	4	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	7	1	46	25	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Pricia
13112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	22	87	11	15	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __Lewinella
21696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	11	21	17	46	68	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	5	7	5	0	3	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Maribacter
6491	0	0	0	0	7	6	0	0	0	1	4	0	1	0	0	54	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	8	0	0	0	4	0	0	0	1	0	0	0	94	2	0	3	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __uncultured; __uncultured; __uncultured_bacterium
22364	0	0	0	4	2	10	0	15	0	2	0	0	0	0	0	0	2	0	4	2	15	1	0	0	0	0	1	0	0	0	0	0	0	27	12	0	4	1	49	1	3	7	30	0	2	0	1	3	0	3	4	0	7	22	1	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Pseudophaeobacter
6809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	43	30	7	8	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	17	31	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unassigned
6607	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	9	0	8	0	29	26	37	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	0	11	4	0	0	0	0	0	0	6	0	12	1	2	3	5	0	0	3	7	8	1	2	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __Unknown_Family; __uncultured; __uncultured_bacterium
18985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	58	0	0	0	0	0	0	0	0	0	2	3	2	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	10	14	13	40	1	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __uncultured; __uncultured; __uncultured_bacterium
18779	0	0	0	0	0	44	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	67	5	51	3	9	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	25	0	0	0	0	0	0	0	1	0	1	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __Portibacter; __uncultured_bacterium
12616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	7	0	0	3	15	25	79	20	0	2	0	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	0	3	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Roseobacter; __uncultured_bacterium
23060	0	0	0	0	0	0	0	0	0	7	10	5	0	0	0	2	1	0	1	1	3	29	2	19	2	12	26	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10	1	2	7	2	0	1	1	0	0	0	2	1	9	2	1	3	0	2	0	0	0	1	1	0	0	0	0	0	1	17	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola
17510	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	48	3	129	3	0	8	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	15	1	1	0	1	4	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Roseovarius
12112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	85	22	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	25	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Flammeovirgaceae; __Tunicatimonas
10939	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	58	0	28	4	11	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	16	18	22	23	4	0	0	19	0	2	0	1	0	0	0	1	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Litorimonas
21674	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	2	1	0	0	0	1	4	11	4	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	32	24	32	29	0	22	31	0	22	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Nonlabens
15776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	22	0	1	37	7	18	2	18	9	15	11	0	21	9	0	2	1	3	10	0	7	10	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea; __Thaumarchaeota; __Marine_Group_I; __Unknown_Order; __Unknown_Family; __Candidatus_Nitrosopumilus; __uncultured_archaeon
10359	0	0	0	4	0	2	2	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	9	0	0	11	0	0	1	0	0	0	1	15	0	2	0	0	0	27	6	3	69	0	0	14	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Unassigned
23251	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	3	31	1	3	11	21	2	1	0	0	16	0	17	7	24	26	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Marivita
22923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	19	5	3	0	11	18	0	2	14	0	5	17	13	7	1	17	8	15	19	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __uncultured_organism
11158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	37	0	6	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	17	10	1	0	0	36	1	6	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	6	23	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast
7163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	14	2	10	10	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	2	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	66	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Saprospiraceae; __uncultured; __uncultured_bacterium
21086	0	0	0	0	1	0	0	0	0	6	2	6	2	0	11	9	4	0	42	3	1	68	11	0	10	7	4	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	5	0	0	0	0	0	2	2	6	4	4	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __uncultured; __uncultured_bacterium
8516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	77	36	49	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	4	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
22532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	20	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	86	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola; __uncultured_Alteromonas_sp.
20060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	0	0	1	1	0	0	0	2	1	1	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	5	6	128	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Olleya
